dataset_agent,learning_rate,dicount_factor,total_time_step,hyper_parameters,sharp_ratio,training_mins
BTC_DQN,0.1,0.9,500000,learning_rate:0.1-dicount_factor:0.9-total_time_step:500000,-0.301,22.850905179977417
BTC_DQN,1e-05,0.84,200000,learning_rate:1e-05-dicount_factor:0.84-total_time_step:200000,0.265,10.726240158081055
BTC_DQN,1e-05,0.82,400000,learning_rate:1e-05-dicount_factor:0.82-total_time_step:400000,-0.033,21.87559986114502
BTC_DQN,0.01,0.84,400000,learning_rate:0.01-dicount_factor:0.84-total_time_step:400000,0.058,20.559137105941772
BTC_DQN,0.0001,0.82,200000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:200000,-0.081,9.283243894577026
BTC_DQN,0.0001,0.84,300000,learning_rate:0.0001-dicount_factor:0.84-total_time_step:300000,0.162,13.729987144470215
BTC_DQN,0.1,0.8,300000,learning_rate:0.1-dicount_factor:0.8-total_time_step:300000,-0.557,13.324532985687256
BTC_DQN,0.1,0.82,500000,learning_rate:0.1-dicount_factor:0.82-total_time_step:500000,-0.181,22.54174017906189
BTC_DQN,0.01,0.8,500000,learning_rate:0.01-dicount_factor:0.8-total_time_step:500000,0.093,22.443418979644775
BTC_DQN,0.01,0.84,400000,learning_rate:0.01-dicount_factor:0.84-total_time_step:400000,-0.084,17.86277675628662
BTC_DQN,0.01,0.9,500000,learning_rate:0.01-dicount_factor:0.9-total_time_step:500000,-0.227,22.25470495223999
BTC_DQN,1e-05,0.9,300000,learning_rate:1e-05-dicount_factor:0.9-total_time_step:300000,-0.475,13.396558046340942
BTC_DQN,1e-05,0.86,100000,learning_rate:1e-05-dicount_factor:0.86-total_time_step:100000,-0.025,4.534483909606934
BTC_DQN,0.01,0.82,500000,learning_rate:0.01-dicount_factor:0.82-total_time_step:500000,-0.198,22.289623975753784
BTC_DQN,0.0001,0.82,500000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:500000,-0.012,22.2899911403656
BTC_DQN,1e-05,0.8,100000,learning_rate:1e-05-dicount_factor:0.8-total_time_step:100000,0.279,4.573209762573242
BTC_DQN,0.1,0.8,100000,learning_rate:0.1-dicount_factor:0.8-total_time_step:100000,0.474,4.513052940368652
BTC_DQN,0.0001,0.84,500000,learning_rate:0.0001-dicount_factor:0.84-total_time_step:500000,0.016,22.73311710357666
BTC_DQN,0.1,0.86,400000,learning_rate:0.1-dicount_factor:0.86-total_time_step:400000,0.175,18.073256254196167
BTC_DQN,0.0001,0.8,400000,learning_rate:0.0001-dicount_factor:0.8-total_time_step:400000,0.371,17.990386962890625
BTC_MULTI_AGENT,0.0007,0.82,200000,learning_rate:0.0007-dicount_factor:0.82-total_time_step:200000,0.263,12.4267098903656
BTC_MULTI_AGENT,0.7,0.86,200000,learning_rate:0.7-dicount_factor:0.86-total_time_step:200000,0.055,11.64513111114502
BTC_MULTI_AGENT,7e-05,0.9,100000,learning_rate:7e-05-dicount_factor:0.9-total_time_step:100000,0.138,6.18639612197876
BTC_MULTI_AGENT,0.007,0.84,300000,learning_rate:0.007-dicount_factor:0.84-total_time_step:300000,0.281,17.712058782577515
BTC_MULTI_AGENT,0.7,0.84,500000,learning_rate:0.7-dicount_factor:0.84-total_time_step:500000,0.528,28.879910945892334
BTC_MULTI_AGENT,0.0007,0.86,500000,learning_rate:0.0007-dicount_factor:0.86-total_time_step:500000,0.063,30.089496850967407
BTC_MULTI_AGENT,7e-05,0.8,400000,learning_rate:7e-05-dicount_factor:0.8-total_time_step:400000,-0.347,24.090628147125244
BTC_MULTI_AGENT,0.007,0.84,200000,learning_rate:0.007-dicount_factor:0.84-total_time_step:200000,0.470,11.59876275062561
BTC_MULTI_AGENT,7e-05,0.86,100000,learning_rate:7e-05-dicount_factor:0.86-total_time_step:100000,0.011,6.098592281341553
BTC_MULTI_AGENT,0.007,0.9,200000,learning_rate:0.007-dicount_factor:0.9-total_time_step:200000,0.054,11.635914087295532
BTC_MULTI_AGENT,0.007,0.9,100000,learning_rate:0.007-dicount_factor:0.9-total_time_step:100000,0.083,5.921093940734863
BTC_MULTI_AGENT,0.7,0.86,500000,learning_rate:0.7-dicount_factor:0.86-total_time_step:500000,-0.264,29.138216972351074
BTC_MULTI_AGENT,0.0007,0.8,400000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:400000,-0.060,24.07907795906067
